imgno,contrast,dissimilarity,homogeneity,ASM,energy,correlation
1001,16.65932800172584,2.0894700751972386,0.5373877546657303,0.11849866703027613,0.34423635344088244,0.3537996310076913
1002,40.569511217948715,3.790765224358974,0.37446672348396887,0.03214406988125081,0.17928767353404643,0.6086469106352201
1003,68.62714959319527,5.704704450197239,0.23657976023729518,0.005651374717078333,0.07517562581767001,0.6329084329842142
1004,73.98284948224853,6.286026873767259,0.19126905926864907,0.0020151304628892724,0.04489020453160436,0.6303539961912922
1005,89.27272482125247,7.198066907051283,0.15603076197499732,0.0014960896776890892,0.03867931847498207,0.47317078363750015
1006,90.19368682199212,7.238597140039449,0.15640985031428808,0.001728480885520231,0.04157500313313555,0.4470648863323107
1007,85.79865091839251,7.10579619699211,0.15319857744474535,0.0014286163841061076,0.037797042002068196,0.4709145159471059
1008,79.43328556459566,6.8409686267258385,0.15484350097117844,0.0013793505756157392,0.03713960925502231,0.4829847548248114
1009,78.12580128205128,6.7620808678500985,0.15920689490087075,0.0013887297958790088,0.03726566510716008,0.48922354316697053
1010,78.1967956422584,6.697935928254438,0.16542641981180561,0.0014924462900099082,0.03863219240490899,0.5123542900377447
10106,34.599821252465475,3.551775147928993,0.3778449468574113,0.0358847590236559,0.18943272954707668,0.33086476337965975
10107,31.321244760848124,3.4109113042406314,0.3744386887355007,0.03132848452945552,0.17699854386252875,0.37897504253512976
10108,30.75341315335306,3.3322546844181455,0.3799850000007453,0.03384763212641659,0.18397725980788113,0.32975986850564454
10109,59.570428069526635,5.139438486193294,0.2694264864115842,0.011617799502343732,0.10778589658366132,0.4087237467283245
1011,76.18561236439842,6.622858111439842,0.16695863923203721,0.0016450136935309894,0.040558768392679155,0.4837989881935491
1012,72.24036535379685,6.33251278969428,0.18065451565339952,0.0021322326638192534,0.0461761049009036,0.4873818838923598
1013,75.77814888436885,6.453621948964496,0.18467443272064835,0.0022595418278243255,0.047534638189685695,0.47136267987851754
1014,77.6836862056213,6.514515532544378,0.1820943422635269,0.002381493721747202,0.048800550424633556,0.45007298668748036
10146,49.74707994329389,5.148460613905326,0.218787922512944,0.003116633310141356,0.0558268153322519,0.6327771416097562
10147,51.937754252958584,5.302691999506903,0.21096090847420165,0.0033631988409992064,0.05799309304563093,0.5215680288522738
10148,37.78712093195267,4.3341037968441825,0.26225043498274886,0.007122133459794302,0.08439273345374175,0.4673407355957269
10149,28.11166327662722,3.617041111932939,0.3186972265824169,0.016567686075656875,0.12871552383320697,0.48502779561770004
1015,81.5356108234714,6.633898853550296,0.18590854796983655,0.002693691726846686,0.05190078734322521,0.4251547070185106
10150,17.873513005424066,2.685311883629191,0.4116085627051576,0.042223167457276486,0.20548276681336683,0.36695619338289437
1016,70.91439379930966,6.17284578402367,0.193757850704742,0.00280872159154674,0.05299737344007475,0.46029463933443815
1017,76.22204373150888,6.350896049063116,0.1969625913924776,0.0032258506695862638,0.05679657269225198,0.4406880581336235
1018,82.31011541543393,6.5928986378205146,0.19757985856904212,0.003547389859130588,0.05955996859578242,0.40466638415162964
1019,71.1840637327416,6.051821375739645,0.2134459896063693,0.00434317214328457,0.06590274761559316,0.42415662104358376
1020,65.98883983604537,5.756121332593688,0.2265761817954911,0.005735640690935322,0.07573401277454749,0.413914208031221
1021,69.84755223742602,5.87953417776134,0.23285895212035906,0.00675245968231977,0.08217335141224173,0.41406282449625514
1022,65.86177499383629,5.769134461291913,0.22565318201350743,0.005395892710347538,0.07345674040105195,0.42786073505659694
1023,65.45351408407299,5.780175203402368,0.22040461367995876,0.0047652047847894455,0.06903046273051808,0.4401059830691607
1024,73.43610160872781,6.243786211785009,0.20024918491965638,0.0037518094474339224,0.061252015864246646,0.42199313264750044
1025,66.1496240138067,5.867711415187377,0.21192774409941953,0.00415407155134587,0.06445208725360156,0.46847364577401607
1026,54.86878621178501,5.369679949457594,0.21931634454089513,0.00446384606784098,0.06681202038436632,0.4851707131881415
10263,28.079504129684423,3.15163492357002,0.40054085366135606,0.0404237639577581,0.20105661878624664,0.3457291099212434
10264,32.817427114151876,3.479447885848126,0.37571209164245095,0.03508162792405814,0.18730090209088193,0.3171285843358371
10265,59.22176251232743,5.119568232248522,0.2748637931970264,0.013123385282896938,0.11455734495394408,0.37956862645356065
1027,65.96666974852072,5.828109590729783,0.21604606157550163,0.0050669214064718495,0.07118231105037157,0.4432731453732775
1028,64.88735823471401,5.832693848619329,0.20918907786058882,0.004144641948092521,0.06437889365384063,0.4649125749142141
1029,61.47360006780079,5.784150795118343,0.19584405190579912,0.003285546810687857,0.05731968955505479,0.46932007356999594
1030,60.28648529955622,5.660822700936883,0.20844603042732418,0.004337558261281034,0.0658601416737091,0.49263293872318464
10301,14.35445559048323,2.033079850838264,0.532270953435701,0.10128611420198803,0.3182547944681871,0.6174825874025256
10302,58.430754591962526,5.728654308431953,0.18754416349647468,0.001919984419597984,0.0438176268138518,0.5744933585858502
10303,50.12984621548323,5.175126356015779,0.21844776027357812,0.003709958961418284,0.06090943245030513,0.5017908975407187
10304,37.31110160872781,4.2544725406804735,0.27598153919997076,0.008126210221979027,0.0901454947403309,0.4491383051511991
10305,23.362803562623274,3.208918885601578,0.35245635375319817,0.021691769054602163,0.14728125832773892,0.446988921152156
10306,17.513113288954635,2.633868035009862,0.4162105068630662,0.04300032898967623,0.20736520679630957,0.3502274406074645
